points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
22,C,23,8,12,66.7,6,8,75.0,0,2,0,3,3,6,0,2,0,0,3,+3,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12653
21,C,37,8,16,50.0,1,1,100.0,4,9,44.4,1,5,6,4,4,0,1,1,+14,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12666
22,C,29,7,17,41.2,4,4,100.0,4,9,44.4,2,3,5,0,4,1,3,3,-6,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12684
17,C,19,5,11,45.5,6,8,75.0,1,4,25.0,1,2,3,0,6,1,1,1,+5,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12698
10,C,23,3,10,30.0,4,6,66.7,0,3,0,3,1,4,3,2,1,1,3,-20,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12735
11,C,25,4,7,57.1,3,4,75.0,0,2,0,1,8,9,1,3,0,1,4,+5,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12751
17,C,29,7,11,63.6,1,2,50.0,2,3,66.7,1,7,8,0,3,1,2,2,+13,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12760
23,C,27,8,14,57.1,6,6,100.0,1,3,33.3,5,5,10,2,5,1,2,5,+23,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12773
11,C,27,5,11,45.5,1,1,100.0,0,3,0,1,7,8,0,4,2,1,2,+2,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12794
13,C,29,5,14,35.7,3,5,60.0,0,5,0,4,5,9,2,3,0,0,1,-13,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12815
17,C,30,8,12,66.7,0,0,0,1,4,25.0,2,8,10,1,4,0,2,2,+10,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12832
17,C,34,7,16,43.8,1,1,100.0,2,6,33.3,1,9,10,1,1,1,0,1,+22,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,13749
26,C,32,9,18,50.0,6,8,75.0,2,8,25.0,1,9,10,2,2,1,0,3,-5,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,13775
10,C,25,3,11,27.3,3,4,75.0,1,5,20.0,1,6,7,1,6,1,2,0,-17,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,13779
23,C,31,10,15,66.7,3,6,50.0,0,2,0,3,5,8,1,2,1,2,3,+12,,522,Myles,Turner,15,Indiana Pacers,Pacers,IND,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,12841
